날짜,발신자,내용
2025-03-14 02:09:14,🦆TallSeyi🦊⚡VIA 🐦 SUI ▪️🌱SEED,So mine also didn't count my last point..
2025-03-14 01:59:55,Christabel | JAMBO 🧿,"Hi there, thank you for reaching out! May I know which quest this is for? Also, could you kindly share a screenshot so we can better understand the issue? Thank you! 🙏"
2025-03-14 01:58:26,Christabel | JAMBO 🧿,"Got you. Hey, sorry about that! Kindly fill out this form so we can further assess the issue for you. https://docs.google.com/forms/d/e/1FAIpQLSdBx8xeBdKbqTDX0-CK5fWegQuTaSXU55Wkj3zxz6-CsODBNg/viewform 🙏"
2025-03-13 21:19:46,Ayuba muhammad🌊 Wave,I didn't receive my phone it about 2 months since my order
2025-03-13 20:31:45,Paul,Can someone attend to us please
2025-03-13 19:56:55,Paul,"Same issue here mate, I've messaged team but yet to get a reply from them"
2025-03-13 16:51:46,Username,Go high Jambo🔥
2025-03-13 16:29:28,Varun,Jambo is pump
2025-03-13 15:37:34,Adelana,"Hi, I got a mail that if I don't receive my phone within 10days I should reach out to the general support on Telegram it's 10 days from the day I received the mail. I have also messaged the team by email."
2025-03-13 12:47:02,Norton MyGate Network 🌱SEED 🦴 🐾,this is crazy
2025-03-13 12:46:08,Norton MyGate Network 🌱SEED 🦴 🐾,wow? Jambo team just passed me?
2025-03-13 12:28:17,Paul,I've done this.. awaiting your response
2025-03-13 11:22:38,Tony,yes!
2025-03-13 10:50:07,Jeep,"Hello! I have a problem with your app on my phone Jambo ver.1 - it did not count Claim points three times = 300 + 900 + 1500. I waited for a few days thinking that the information would be updated, but I see the same number of points, without increase. Help me solve the problem."
2025-03-13 10:12:02,Angela ⚡VIA,"When I click create account, it doesn't respond or go to the next step"
2025-03-13 08:47:30,Christabel | JAMBO 🧿,Oh absolutely! I just responded to your DM. Please check!
2025-03-13 08:46:25,Adedolapo,"I message you privately.

Can you please help 🥺"
2025-03-13 08:45:47,Adedolapo,I need help with my sei withdrawal
